"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"45CIFDAC","webpage","","","Project Costs · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Project Costs · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:45","2022-08-23 18:10:52","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQ55JZNS","webpage","","","Spending Requests and Reimbursement · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Spending Requests and Reimbursement · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:45","2022-08-23 18:10:57","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BADT3NII","webpage","","","Funding Opportunities · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Funding Opportunities · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:45","2022-08-23 18:11:02","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VHAA3B5M","webpage","","","Invoice Template · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Invoice Template · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:45","2022-08-23 18:11:11","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9P64E2G","webpage","","","Donations and Fundraising Policies · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Donations and Fundraising Policies · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:45","2022-08-23 18:11:15","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LF5ZA8WE","webpage","","","Privileges and Responsibilities of Membership · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Privileges and Responsibilities of Membership · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:54","2022-08-23 18:12:00","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L3QKSNZE","webpage","","","Admin when team members step down · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Admin when team members step down · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:54","2022-08-23 18:12:02","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q6S3ZLZ6","webpage","","","Team Leader Selection Process · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Team Leader Selection Process · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:54","2022-08-23 18:12:05","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YY3XUSVG","webpage","","","Checklist for Sabbaticals · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Checklist for Sabbaticals · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:54","2022-08-23 18:12:14","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"627ZIE6K","webpage","","","Managing Editor Handover · programminghistorian/jekyll Wiki","GitHub","","","","https://github.com/programminghistorian/jekyll","Jekyll-based static site for The Programming Historian  - Managing Editor Handover · programminghistorian/jekyll Wiki","","2022-09-01 12:55:34","2022-09-01 13:08:54","2022-08-23 18:12:16","","","","","","","","","","","","","","en","","","","","","","","","","","Wiki","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
