"Paper","DOI","Total Citations","TC per Year","Normalized TC"
"JOSS S, 2019, J URBAN TECHNOL","10.1080/10630732.2018.1558387","138","34.50","13.18"
"GRAHAM S, 2015, EXPLORING BIG HISTORICAL DATA: THE HISTORIAN'S MACROSCOPE","10.1142/p981","45","5.63","2.81"
"KAGASHE I, 2017, J MED INTERNET RES","10.2196/jmir.7393","40","6.67","4.84"
"ZAAGSMA G, 2013, BIJDR MEDED BETREFFENDE GESCHIED NED","10.18352/bmgn-lchr.9344","36","3.60","2.62"
"HYVÖNEN E, 2016, LECT NOTES COMPUT SCI","10.1007/978-3-319-34129-3_46","34","4.86","4.43"
"HUFFER D, 2017, INTERNET ARCHEOL","10.11141/ia.45.5","16","2.67","1.94"
"YOUNG JL, 2013, HIST PSYCHOL","10.1037/a0033118","15","1.50","1.09"
"ZHOU X, 2017, PROC - IEEE/WIC/ACM INT CONF WEB INTELL , WI","10.1145/3106426.3106459","14","2.33","1.69"
"GREEN CD, 2016, HIST PSYCHOL","10.1037/hop0000012","14","2.00","1.83"
"SHAHIN S, 2016, JOURNAL MASS COMMUN Q","10.1177/1077699016638835","14","2.00","1.83"
