Árvore de código,Id,default,Total
METADATA,catid:1,54,54
ABSTRACT,cid:6,3,3
AIM,cid:12,5,5
AUTHOR,cid:2,24,24
EMAIL,cid:3,2,2
INSTITUTION,cid:4,7,7
KEYWORDS,cid:7,3,3
TITLE,cid:5,10,10
PROGRAMMING HISTORIAN,catid:2,108,108
DEFINITION,cid:8,8,8
PH,cid:1,4,4
PH::COMUNITY,cid:13,4,4
PH::CRITICAL_MAKING,cid:27,9,9
PH::CRITICS,cid:23,5,5
PH::EDITORIAL_PRACTICES,cid:16,14,14
PH::ESPANHOL,cid:9,4,4
PH::ETHICAL_ISSUES,cid:25,0,0
PH::GENDER,cid:17,3,3
PH::LESSONS,cid:24,2,2
PH::METHODOLOGY,cid:11,4,4
PH::MULTILINGUISM,cid:10,11,11
PH::NOVICE-FRIENDLY,cid:22,1,1
PH::OPENNESS,cid:20,6,6
PH::PROPOSOTIONS,cid:21,0,0
PH::TECHNICAL_ASPECTS,cid:19,25,25
PH::TRANSLATION,cid:14,8,8
GITHUB,cid:18,7,7
GLOBAL_SOUTH,cid:15,1,1
SITE,cid:26,14,14
