Árvore de código,Id,default,Total
METADATA,catid:1,37,37
ABSTRACT,cid:6,2,2
AIM,cid:12,5,5
AUTHOR,cid:2,13,13
EMAIL,cid:3,2,2
INSTITUTION,cid:4,7,7
KEYWORDS,cid:7,2,2
TITLE,cid:5,6,6
PROGRAMMING HISTORIAN,catid:2,81,81
DEFINITION,cid:8,7,7
PH,cid:1,4,4
PH::COMUNITY,cid:13,3,3
PH::CRITICAL_MAKING,cid:27,2,2
PH::CRITICS,cid:23,5,5
PH::EDITORIAL_PRACTICES,cid:16,13,13
PH::ESPANHOL,cid:9,4,4
PH::ETHICAL_ISSUES,cid:25,0,0
PH::GENDER,cid:17,3,3
PH::LESSONS,cid:24,1,1
PH::METHODOLOGY,cid:11,4,4
PH::MULTILINGUISM,cid:10,10,10
PH::NOVICE-FRIENDLY,cid:22,1,1
PH::OPENNESS,cid:20,6,6
PH::PROPOSOTIONS,cid:21,0,0
PH::TECHNICAL_ASPECTS,cid:19,12,12
PH::TRANSLATION,cid:14,6,6
GITHUB,cid:18,6,6
GLOBAL_SOUTH,cid:15,1,1
SITE,cid:26,2,2
